vx,vy,vz,wx,wy,wz
-0.019421,-0.002165,-0.004902,0.2568,-0.007919,-0.21372
-0.021295,0.00486,0.005759,0.30136,0.01443,-0.18027
-0.02077,0.00979,0.01362,0.2845,-0.013104,-0.14283
-0.015044,0.011064,0.017754,0.19991,-0.076407,-0.10172
-0.006918,0.010242,0.019088,0.10337,-0.099317,-0.073054
-0.002361,0.008681,0.017829,0.081928,0.059503,-0.14704
-0.004987,0.006182,0.012052,0.14493,0.24777,-0.22697
-0.011182,0.002943,0.003681,0.099542,0.26248,-0.21692
-0.016077,0.00092,-0.001295,-0.004212,0.11285,-0.10956
-0.017162,0.001234,0.000191,-0.003463,-0.000938,-0.026117
-0.016946,0.002762,0.005071,0.045786,0.071692,-0.057181
-0.01809,0.004094,0.01013,0.044603,0.12317,-0.093204
-0.021883,0.00441,0.013826,0.011815,0.069701,-0.060847
-0.027036,0.00453,0.0177,-0.04865,-0.024529,0.007229
-0.032344,0.005487,0.023166,-0.10536,-0.077717,-0.005869
-0.038067,0.008509,0.032629,-0.098545,0.008975,-0.10132
-0.043945,0.012369,0.043683,-0.078464,0.050195,-0.13161
-0.047991,0.014422,0.050528,-0.10374,-0.004197,-0.078197
-0.048978,0.013614,0.049997,-0.12867,-0.10186,-0.021904
-0.048133,0.010998,0.045258,-0.15702,-0.08596,-0.036858
-0.047155,0.007096,0.040005,-0.20041,-0.097678,-0.047019
-0.047063,0.000968,0.035775,-0.12614,-0.03911,-0.069238
-0.046839,-0.006447,0.031032,-0.021863,0.01849,-0.081719
-0.045124,-0.011815,0.024863,0.044223,0.061348,-0.075621
-0.045354,-0.014149,0.019762,0.054225,0.029514,0.007424
-0.044093,-0.014436,0.013235,0.044675,0.022044,0.071844
-0.029682,-0.012294,-0.003117,0.069145,0.098575,0.10141
0.004783,-0.008074,-0.032979,0.10036,0.20695,0.13482
0.052398,-0.001426,-0.072666,0.11042,0.42077,0.14822
0.10411,0.009083,-0.11952,0.047852,0.81051,0.12318
0.15818,0.023654,-0.17331,0.010419,1.0893,0.22278
0.21634,0.042085,-0.23427,-0.029695,1.1681,0.50823
0.27483,0.065207,-0.30038,0.038048,1.1352,0.88856
0.33657,0.09474,-0.37262,0.063983,1.2226,1.2384
0.39864,0.12896,-0.45002,0.030531,1.6041,1.423
0.4485,0.16355,-0.52763,-0.083534,2.1693,1.5678
0.47972,0.19506,-0.6055,-0.34036,2.6045,1.9075
0.49873,0.22694,-0.68359,-0.58147,2.6269,2.255
0.51239,0.26516,-0.7567,-0.67167,2.5085,2.6733
0.52609,0.3165,-0.82055,-0.37084,2.1601,2.8901
0.53443,0.37419,-0.87943,-0.11579,2.0003,3.2539
0.52801,0.42391,-0.94106,0.051513,2.128,3.6241
0.50023,0.46022,-1.0088,0.14731,2.4445,4.0219
0.45769,0.48856,-1.0794,0.17225,2.8115,4.4098
0.41069,0.51091,-1.1502,0.096594,2.8884,4.7427
0.36507,0.52796,-1.2238,0.037651,2.7269,5.1031
0.315,0.53903,-1.2977,-0.058663,2.7447,5.4374
0.25337,0.54408,-1.3625,0.037757,2.8269,5.7151
0.17607,0.54126,-1.4116,0.0205,3.155,5.8649
0.08721,0.53242,-1.4515,-0.20486,3.5704,5.9894
-0.007956,0.52317,-1.4922,-0.10552,3.7966,5.9443
-0.10785,0.51784,-1.5397,0.61382,3.453,5.6713
-0.21405,0.51211,-1.588,1.5702,2.9055,5.3579
-0.32606,0.49849,-1.6294,2.2109,2.7331,4.9982
-0.44623,0.4725,-1.6697,1.7503,3.0039,4.7886
-0.5722,0.43862,-1.703,0.30884,3.2933,4.7392
-0.69642,0.40293,-1.7034,-0.88616,3.6118,4.4289
-0.81763,0.37411,-1.6513,-1.2281,4.2134,3.4724
-0.93709,0.34348,-1.5663,-0.79973,4.825,2.3809
-1.051,0.29095,-1.4815,-0.18264,5.2336,1.6874
-1.1613,0.19506,-1.4127,-0.1968,5.4401,1.8317
-1.2661,0.077277,-1.3441,-0.70286,5.2693,2.2103
-1.3557,-0.018087,-1.2616,-1.1184,5.0778,2.0734
-1.4305,-0.064632,-1.1567,-1.3874,4.9356,1.4178
-1.4902,-0.08876,-1.0378,-1.5856,4.7111,0.82174
-1.5236,-0.12537,-0.91689,-1.5768,4.3669,0.69236
-1.5209,-0.19931,-0.79499,-1.2643,4.0341,0.78227
-1.4919,-0.28573,-0.67099,-0.84227,3.8462,0.60625
-1.4549,-0.34497,-0.55328,-0.6527,3.7611,-0.039054
-1.4147,-0.35097,-0.44255,-0.95759,3.6985,-0.73168
-1.3665,-0.32978,-0.3381,-1.2608,3.3748,-0.87915
-1.3137,-0.31995,-0.24625,-1.358,2.7905,-0.26854
-1.2603,-0.34196,-0.17038,-1.3019,2.2123,0.7348
-1.2024,-0.37533,-0.10711,-1.1321,1.7534,1.5442
-1.1318,-0.39711,-0.052523,-0.94142,1.4672,1.7912
-1.0416,-0.39774,-0.005771,-0.84581,1.2746,1.6099
-0.93878,-0.38678,0.032285,-0.85462,1.1291,1.1415
-0.83595,-0.37004,0.06294,-0.88576,1.0018,0.64876
-0.73521,-0.34901,0.085946,-0.91285,0.9031,0.31801
-0.63447,-0.32218,0.10155,-0.94142,0.81358,0.12298
-0.54017,-0.29094,0.1118,-0.93336,0.73291,0.030052
-0.45676,-0.2542,0.1162,-0.90576,0.62826,0.011334
-0.37977,-0.21304,0.11525,-0.86801,0.45671,-0.010822
-0.30221,-0.17204,0.11242,-0.36381,0.33597,0.51195
0.026163,-0.003138,-0.035507,0.005843,0.008432,0.013294
