hand_x_pos,hand_y_pos,hand_z_pos,hand_quat_q,hand_quat_p1,hand_quat_p2,hand_quat_p3
-0.25435,-0.24743,0.72823,0.57733,0.61771,0.29059,0.44799
-0.25422,-0.24729,0.72827,0.57707,0.61779,0.2905,0.44827
-0.25409,-0.24717,0.72831,0.5768,0.61785,0.29049,0.44852
-0.25397,-0.24708,0.72837,0.57659,0.6179,0.29051,0.44871
-0.25385,-0.24703,0.72847,0.57645,0.61796,0.29051,0.44881
-0.25373,-0.24701,0.72858,0.57636,0.61801,0.29054,0.44883
-0.25363,-0.24701,0.72868,0.57628,0.61801,0.29065,0.44887
-0.25354,-0.24705,0.72877,0.57617,0.61792,0.29092,0.44897
-0.25345,-0.24712,0.72884,0.57607,0.61777,0.29126,0.44907
-0.25338,-0.24721,0.72891,0.57609,0.61767,0.29148,0.44905
-0.25332,-0.24733,0.72898,0.57628,0.61768,0.29147,0.4488
-0.25326,-0.24747,0.72904,0.57659,0.61773,0.29133,0.44843
-0.25322,-0.24759,0.72906,0.57691,0.61774,0.29119,0.44809
-0.25319,-0.24768,0.72904,0.57728,0.61765,0.29104,0.44783
-0.25318,-0.24774,0.72899,0.57766,0.61753,0.29089,0.44761
-0.25316,-0.24779,0.72893,0.57788,0.61748,0.29085,0.44741
-0.25313,-0.24783,0.72889,0.57783,0.6176,0.29098,0.44724
-0.2531,-0.24786,0.72883,0.57761,0.61779,0.29122,0.4471
-0.25307,-0.24786,0.72878,0.57732,0.61797,0.29154,0.44701
-0.25304,-0.24783,0.72872,0.57694,0.6181,0.29203,0.44699
-0.253,-0.24776,0.72867,0.5765,0.61822,0.29259,0.44704
-0.25296,-0.24768,0.72862,0.57614,0.61835,0.29294,0.4471
-0.2529,-0.24756,0.72859,0.576,0.61848,0.29287,0.44715
-0.25283,-0.24742,0.72857,0.57595,0.61861,0.29257,0.44722
-0.25274,-0.24729,0.72857,0.57582,0.61875,0.29235,0.44734
-0.25262,-0.24719,0.72863,0.5755,0.61891,0.29233,0.44754
-0.25248,-0.24709,0.72872,0.57511,0.61906,0.29238,0.4478
-0.25233,-0.247,0.72881,0.57481,0.6192,0.29234,0.44801
-0.25219,-0.24692,0.72889,0.5747,0.61929,0.29214,0.44816
-0.25204,-0.24685,0.72896,0.57469,0.61936,0.29185,0.44828
-0.25188,-0.2468,0.72904,0.57468,0.61941,0.29162,0.44836
-0.25171,-0.24679,0.72911,0.57466,0.61943,0.29152,0.44842
-0.25152,-0.24679,0.72918,0.57465,0.61944,0.29148,0.44846
-0.25135,-0.2468,0.72923,0.57464,0.61944,0.29147,0.44847
-0.25119,-0.24681,0.72928,0.57467,0.61941,0.29148,0.44846
-0.25104,-0.24683,0.72931,0.57471,0.61937,0.29152,0.44844
-0.25087,-0.24686,0.7293,0.57472,0.61935,0.29157,0.44843
-0.25066,-0.2469,0.72926,0.57468,0.61934,0.29165,0.44844
-0.25044,-0.24695,0.72917,0.57461,0.61934,0.29174,0.44847
-0.25017,-0.24696,0.72903,0.57452,0.61939,0.29178,0.4485
-0.24984,-0.24693,0.7288,0.57437,0.6195,0.29178,0.44854
-0.24948,-0.24686,0.72852,0.57419,0.61965,0.29173,0.44859
-0.24909,-0.24673,0.72821,0.57409,0.61981,0.29152,0.44863
-0.24869,-0.24651,0.72788,0.57415,0.61994,0.29111,0.44863
-0.24828,-0.24623,0.72753,0.57429,0.62009,0.29054,0.44863
-0.24787,-0.24588,0.72723,0.5743,0.62034,0.28994,0.44865
-0.24745,-0.24544,0.72698,0.57412,0.62077,0.28932,0.4487
-0.24703,-0.24494,0.72677,0.5738,0.6213,0.28867,0.44878
-0.24663,-0.24443,0.72661,0.57336,0.62185,0.28804,0.449
-0.24626,-0.2439,0.7265,0.5727,0.62237,0.28752,0.44945
-0.2459,-0.24335,0.72644,0.57192,0.62289,0.28702,0.45004
-0.24555,-0.24284,0.72637,0.57127,0.62342,0.28637,0.45054
-0.2452,-0.24237,0.7263,0.57085,0.62398,0.28544,0.45089
-0.24485,-0.24194,0.72622,0.57056,0.62455,0.28436,0.45116
-0.24452,-0.24153,0.72616,0.57044,0.62502,0.2833,0.45132
-0.24421,-0.24114,0.72614,0.57055,0.62534,0.28231,0.45136
-0.24391,-0.24078,0.72614,0.57083,0.62557,0.28135,0.45129
-0.24363,-0.2405,0.72614,0.57114,0.62578,0.2805,0.45112
-0.24337,-0.24035,0.72611,0.57142,0.62601,0.27985,0.45085
-0.24313,-0.24029,0.7261,0.57174,0.62623,0.27931,0.45049
-0.24292,-0.24026,0.72611,0.57218,0.6264,0.27873,0.45005
-0.24273,-0.24027,0.72621,0.57283,0.62654,0.27798,0.44949
-0.24257,-0.24031,0.72634,0.57361,0.62663,0.2772,0.44885
-0.24247,-0.24036,0.72645,0.57435,0.62664,0.27657,0.44828
-0.24242,-0.24041,0.72647,0.57505,0.62653,0.27612,0.44782
-0.24242,-0.24046,0.72646,0.57571,0.62633,0.27582,0.44743
-0.24247,-0.24051,0.72647,0.57616,0.62614,0.27587,0.44708
-0.24256,-0.24055,0.72652,0.5763,0.62597,0.27641,0.44681
-0.24269,-0.24059,0.72658,0.57623,0.6258,0.27729,0.44659
-0.24285,-0.24061,0.72667,0.57608,0.62566,0.27828,0.44637
-0.24306,-0.24065,0.72679,0.57578,0.62555,0.27947,0.44615
-0.2433,-0.24067,0.72693,0.5754,0.62547,0.28078,0.44594
-0.24356,-0.24064,0.72708,0.57526,0.62536,0.28169,0.44569
-0.24383,-0.24053,0.72723,0.57556,0.62519,0.28196,0.44538
-0.24413,-0.24037,0.72739,0.5761,0.625,0.28183,0.44503
-0.24442,-0.24017,0.72756,0.5766,0.62486,0.28158,0.44473
-0.2447,-0.23996,0.72775,0.57704,0.62481,0.28118,0.4445
-0.24499,-0.23972,0.72795,0.57744,0.6248,0.28066,0.44433
-0.2453,-0.23944,0.72813,0.57764,0.62479,0.28036,0.44426
-0.24566,-0.23913,0.72832,0.57753,0.62478,0.28046,0.44435
-0.24605,-0.23878,0.72848,0.57723,0.62477,0.2808,0.44455
-0.24649,-0.23842,0.72861,0.57688,0.6248,0.28122,0.4447
-0.247,-0.23804,0.7287,0.57656,0.62489,0.28163,0.44472
-0.24757,-0.23764,0.72875,0.57619,0.62502,0.28213,0.44469
-0.24813,-0.23727,0.72874,0.57567,0.62516,0.28287,0.4447
-0.2487,-0.23693,0.72865,0.57493,0.62532,0.2839,0.44479
-0.24926,-0.23661,0.7285,0.57402,0.62549,0.28516,0.4449
-0.24978,-0.23636,0.72831,0.57306,0.62565,0.2866,0.445
-0.25024,-0.23623,0.72805,0.57194,0.6258,0.28836,0.44509
-0.25066,-0.23617,0.72773,0.57076,0.62594,0.29029,0.44515
-0.251,-0.23608,0.72745,0.56982,0.62606,0.2919,0.44513
-0.25128,-0.2359,0.72721,0.56929,0.62617,0.29305,0.44492
-0.25149,-0.23569,0.727,0.56899,0.62626,0.29388,0.44462
-0.25165,-0.23548,0.72683,0.56878,0.62633,0.29442,0.44443
-0.26682,-0.22336,0.71588,0.56914,0.62985,0.28559,0.44475
