2.3814	-1.6609	-1.2913	-2.0002	-2.7052	1.8623	-0.57846
0.76188	-0.1061	-0.63151	-1.8981	-0.98858	0.8329	0.47217
-0.81725	0.46339	-0.90184	-0.45252	-0.89168	1.6869	1.3026
-2.7485	1.3891	-1.4394	-1.1979	-2.0268	2.4556	0.73802
-2.761	1.0245	-1.6045	-2.2752	2.2994	2.678	1.9602
-0.069174	-1.0007	-1.4034	-0.48341	1.9891	3.4579	2.5443
1.6984	1.2444	-1.1879	-0.90847	2.6866	0.5273	2.1948
2.3356	0.25921	1.3349	-1.0254	0.84161	2.9009	0.53088
1.4402	1.3177	1.3223	-0.41537	-0.30084	2.6345	-0.20137
-0.42468	0.55436	-0.32863	-1.4094	0.53607	1.2591	-2.8849
